Date,Time,Client,Phone,Pickup,Dropoff,Pax,Price,Payment,Flight,Room,Notes
2026-08-18,08:00,Ronaldo Nazario (Fenomeno),+5511987654321,HER (Heraklion Airport 'N. Kazantzakis'),Elounda Beach Resort,4,120,Paid,GQ200,909,Golden Boot VIP #9
2026-08-18,08:45,Ronaldinho Gaucho,+5521998877665,HER (Heraklion Airport 'N. Kazantzakis'),Elounda Resort,3,110,Paid,A3312,1010,Ballon d'Or #11
2026-08-18,09:30,Rivaldo Ferreira,+5581987651234,HER (Heraklion Airport 'N. Kazantzakis'),Nana Princess,2,95,Card,LH1234,1011,Playmaker #10
2026-08-18,10:15,Cafu (Marcos Evangelista),+5511976543210,Port Heraklion (Ferry Terminal),Creta Maris Resort,4,85,Cash,OA310,202,Captain World Cup 2002 #2
2026-08-18,11:00,Roberto Carlos,+5511965432109,HER (Heraklion Airport 'N. Kazantzakis'),Hersonissos Center,2,65,Paid,EW2450,303,Free-kick Master #6
2026-08-18,11:45,Kaka (Ricardo Izecson),+5511954321098,CHQ (Chania Airport 'I. Daskalogiannis'),Agios Nikolaos Port,3,140,Paid,FR8214,404,Young Prodigy #23
2026-08-18,12:30,Lucio (Lucimar Ferreira),+5561943210987,Port Souda (Chania),Rethymno Old Town,2,90,Hotel,GQ210,505,Rock Defender #3
2026-08-18,13:15,Gilberto Silva,+5531932109876,HER (Heraklion Airport 'N. Kazantzakis'),Malia Beach,2,55,Cash,U24531,606,Invisible Wall #8
2026-08-18,14:00,Marcos Silveira (GK),+5511921098765,HER (Heraklion Airport 'N. Kazantzakis'),Aldemar Royal,2,60,Paid,W64412,101,Saint Marcos #1
2026-08-18,14:45,Dida (Nelson de Jesus),+5571910987654,Port Heraklion (Ferry Terminal),Elounda Resort,2,80,Card,A3312,1212,Ice Keeper #12
2026-08-18,15:30,Kleberson Pereira,+5541909876543,HER (Heraklion Airport 'N. Kazantzakis'),Stalis Beach,2,50,Cash,GQ200,808,Engine Midfielder #15
2026-08-18,16:15,Denilson de Oliveira,+5511898765432,Creta Maris Resort,HER (Heraklion Airport 'N. Kazantzakis'),2,60,Paid,BA632,707,Dribbling King #17
2026-08-18,17:00,Edmilson Gomes,+5511887654321,Elounda Beach Resort,HER (Heraklion Airport 'N. Kazantzakis'),2,90,Hotel,LH1234,502,Bicycle Kick Legend #5
2026-08-18,17:45,Juninho Paulista,+5511876543210,Agios Nikolaos Port,HER (Heraklion Airport 'N. Kazantzakis'),2,85,Cash,OA310,401,Midfield Maestro #19
2026-08-18,18:30,Luiz Felipe Scolari (Felipao),+5551865432109,HER (Heraklion Airport 'N. Kazantzakis'),Elounda Beach Resort,4,130,Hotel,TK1845,999,Head Coach / Penta Campeao
